,Birth_rate,Business_Tax_Rate,Co2_Emmissions,Days_to_Start_Business,Ease_of_business,Energy_Usage,GDP,Health_Exp_percent_gdp,Health_exp_capita,Hours_to_tax,Infant_Mortality_Rate,Internet_Usage,Lending_Interest,Life_Expectancy_Female,Life_Expectancy_Male,Mobile_Phone_Usage,Population_0_14,Population_15_64,Population_65_plus,Population_Total,Population_Urban,Tourism_Inbound,Tourism_Outbound,pop
630,0.041,42.300000000000004,3795.0,45.0,143.0,6766.0,13621809574.0,0.049,39.0,303.85714285714283,0.084,0.0,0.18,53.0,51.0,0.1,0.447,0.52,0.033,17223277.0,0.473,266000000.0,272000000.0,1.0
631,0.038,71.82857142857144,235.0,22.0,115.71428571428571,21859.571428571428,1139754772.0,0.044,13.0,197.85714285714286,0.112,0.0,0.18,46.0,43.0,0.0,0.421,0.539,0.04,3829636.0,0.379,4000000.0,31000000.0,1.0
632,0.05,39.42857142857143,381.0,64.0,142.42857142857142,19922.571428571428,2736666451.0,0.058,17.0,343.42857142857144,0.103,0.0,0.18,48.0,46.0,0.0,0.492,0.481,0.027,9311234.0,0.217,669857142.8571428,115285714.28571428,1.0
633,0.039,42.214285714285715,99.0,25.571428571428573,128.0,15262.714285714286,324470869.0,0.036,21.0,186.85714285714286,0.072,0.0,0.118,60.0,57.0,0.0,0.414,0.556,0.03,570491.0,0.279,16000000.0,8000000.0,1.0
634,0.047,44.92857142857143,1698.0,166.0,111.14285714285714,18503.0,8937565919.0,0.051,6.0,293.85714285714283,0.111,0.0,0.163,49.0,46.0,0.0,0.464,0.508,0.028,50972323.0,0.365,83142857.14285715,42857142.85714286,1.0
635,0.039,44.67142857142858,1085.0,37.0,150.71428571428572,999.0,3495868725.0,0.026,27.0,292.0,0.07,0.0,0.18,54.0,52.0,0.1,0.421,0.544,0.036,3363418.0,0.601,30000000.0,118000000.0,1.0010000000000001
636,0.037,45.68571428571429,5460.0,62.0,143.0,6578.0,13737482343.0,0.051,42.0,354.14285714285717,0.094,0.0,0.11485714285714287,47.0,46.0,0.1,0.422,0.548,0.029,16909801.0,0.455,76000000.0,551000000.0,0.999
637,0.029,89.91428571428571,407.0,61.285714285714285,107.57142857142857,21717.0,622044666.0,0.062,50.0,173.14285714285714,0.075,0.0,0.113,59.0,56.0,0.0,0.39,0.578,0.032,755085.0,0.767,6900000.0,9900000.0,1.0
638,0.024,41.92857142857143,147963.0,37.0,116.0,48971.0,82923680622.0,0.056,56.0,269.57142857142856,0.029,0.0,0.135,72.0,67.0,0.1,0.335,0.61,0.054,69432477.0,0.429,4704000000.0,1465000000.0,0.9990000000000001
639,0.038,66.31428571428572,6018.0,21.285714285714285,142.71428571428572,16929.571428571428,2484745876.0,0.02,101.0,293.85714285714283,0.092,0.0,0.18,49.0,47.0,0.1,0.415,0.551,0.034,568552.0,0.388,501428571.4285714,193714285.7142857,1.0
640,0.04,109.85714285714286,726.0,60.142857142857146,132.28571428571428,804.0,870247702.0,0.032,6.0,252.0,0.051,0.0,0.12971428571428573,60.0,55.0,0.042857142857142864,0.446,0.535,0.019,4472533.0,0.183,74000000.0,38585714.28571428,1.0
641,0.041,44.214285714285715,4947.0,46.0,151.28571428571428,27648.0,8465744001.0,0.049,6.0,307.2857142857143,0.079,0.0,0.07,55.0,54.0,0.0,0.465,0.504,0.031,71989666.0,0.153,336000000.0,63000000.0,1.0
